experiment,value,model,qlike,mse_log_var,n_obs
seq_len,5,lstm,0.5947540998458862,0.6741262674331665,3580
seq_len,10,lstm,0.5983127951622009,0.6518446803092957,3575
seq_len,22,lstm,0.6088518500328064,0.6438969373703003,3563
seq_len,44,lstm,0.6031108498573303,0.653348445892334,3541
refit_freq,125,lstm,0.579268753528595,0.6539461612701416,3563
refit_freq,500,lstm,0.5944116115570068,0.6541112661361694,3563
